material_id,formula_pretty,facet,termination,site_label,site_kind,dE_Hstar_eV,dG_Hstar_eV,E_slab_eV,E_slabH_eV,E_H2_eV,slab_id,config_id,input_rel,mace_output_rel,abs_dG_Hstar_eV
mp-1225687,CuNi,(111),0,bridge_5,bridge,-0.6136808395385742,-0.3736808395385742,-1106.4576416015625,-1110.33056640625,-6.518487930297852,mp-1225687_h111_t0,mp-1225687_h111_t0__bridge_5,ads_structures/mp-1225687_h111_t0/bridge_5.vasp,mace_runs/h_ads/mp-1225687_h111_t0__bridge_5,0.3736808395385742
mp-644311,CuPt,(111),1,bridge_4,bridge,-0.6138029098510742,-0.3738029098510742,-1049.5762939453125,-1053.4493408203125,-6.518487930297852,mp-644311_h111_t1,mp-644311_h111_t1__bridge_4,ads_structures/mp-644311_h111_t1/bridge_4.vasp,mace_runs/h_ads/mp-644311_h111_t1__bridge_4,0.3738029098510742
mp-644311,CuPt,(111),0,ontop_0,ontop,-0.6139249801635742,-0.3739249801635742,-1055.9166259765625,-1059.789794921875,-6.518487930297852,mp-644311_h111_t0,mp-644311_h111_t0__ontop_0,ads_structures/mp-644311_h111_t0/ontop_0.vasp,mace_runs/h_ads/mp-644311_h111_t0__ontop_0,0.3739249801635742
mp-644311,CuPt,(111),0,hollow_3,hollow,-0.6149015426635742,-0.3749015426635742,-1055.9166259765625,-1059.790771484375,-6.518487930297852,mp-644311_h111_t0,mp-644311_h111_t0__hollow_3,ads_structures/mp-644311_h111_t0/hollow_3.vasp,mace_runs/h_ads/mp-644311_h111_t0__hollow_3,0.3749015426635742
mp-1184054,CuNi3,(111),1,bridge_4,bridge,-0.6169767379760742,-0.3769767379760742,-935.781982421875,-939.658203125,-6.518487930297852,mp-1184054_h111_t1,mp-1184054_h111_t1__bridge_4,ads_structures/mp-1184054_h111_t1/bridge_4.vasp,mace_runs/h_ads/mp-1184054_h111_t1__bridge_4,0.3769767379760742
mp-1225687,CuNi,(111),1,bridge_6,bridge,-0.6169767379760742,-0.3769767379760742,-1102.604736328125,-1106.48095703125,-6.518487930297852,mp-1225687_h111_t1,mp-1225687_h111_t1__bridge_6,ads_structures/mp-1225687_h111_t1/bridge_6.vasp,mace_runs/h_ads/mp-1225687_h111_t1__bridge_6,0.3769767379760742
mp-644311,CuPt,(111),0,ontop_3,ontop,-0.6178312301635742,-0.3778312301635742,-1055.9166259765625,-1059.793701171875,-6.518487930297852,mp-644311_h111_t0,mp-644311_h111_t0__ontop_3,ads_structures/mp-644311_h111_t0/ontop_3.vasp,mace_runs/h_ads/mp-644311_h111_t0__ontop_3,0.3778312301635742
mp-1225687,CuNi,(111),1,bridge_13,bridge,-0.6180753707885742,-0.3780753707885742,-1102.604736328125,-1106.4820556640625,-6.518487930297852,mp-1225687_h111_t1,mp-1225687_h111_t1__bridge_13,ads_structures/mp-1225687_h111_t1/bridge_13.vasp,mace_runs/h_ads/mp-1225687_h111_t1__bridge_13,0.3780753707885742
mp-12798,Ni3Pt,(111),0,bridge_2,bridge,-0.6193571090698242,-0.3793571090698242,-546.6094360351562,-550.488037109375,-6.518487930297852,mp-12798_h111_t0,mp-12798_h111_t0__bridge_2,ads_structures/mp-12798_h111_t0/bridge_2.vasp,mace_runs/h_ads/mp-12798_h111_t0__bridge_2,0.3793571090698242
mp-644311,CuPt,(111),0,bridge_11,bridge,-0.6194181442260742,-0.3794181442260742,-1055.9166259765625,-1059.7952880859375,-6.518487930297852,mp-644311_h111_t0,mp-644311_h111_t0__bridge_11,ads_structures/mp-644311_h111_t0/bridge_11.vasp,mace_runs/h_ads/mp-644311_h111_t0__bridge_11,0.3794181442260742
